AUS,4.895,5.138,5.707,5.996,6.039,5.65,5.525,5.282,5.206,6.551,5.209,3.764
AUS,5.307,5.328,5.612,6.173,6.074,5.78,5.669,5.32,5.107,6.349,5.012,3.631
BRA,5.446,5.795,5.674,5.603,7.218,10.061,11.191,10.721,10.051,11.784,10.656,7.463
BRA,10.351,9.222,8.958,8.306,10.292,13.584,14.861,14.394,14.322,16.223,16.41,11.491
CAN,8.051,7.788,7.556,7.487,7.513,7.718,6.872,6.113,6.072,9.778,7.695,5.408
CAN,7.175,6.951,6.684,6.504,6.307,6.277,5.929,5.528,5.265,9.522,7.34,5.138
FRA,8.788,9.725,10.039,10.519,10.794,10.245,9.443,8.982,8.475,8.065,7.972,7.47
FRA,9.709,9.968,9.775,10.006,9.878,9.853,9.373,9.056,8.351,7.951,7.772,7.138
DEU,6.034,5.553,5.503,5.284,4.974,4.451,4.117,3.792,3.492,4.221,3.985,3.343
DEU,5.582,5.178,4.916,4.631,4.221,3.741,3.315,2.91,2.727,3.437,3.238,2.898
ITA,7.519,9.804,11.477,11.861,11.315,10.89,10.339,9.746,9.093,8.404,8.657,7.111
ITA,9.544,11.826,13.067,13.798,12.694,12.775,12.387,11.774,11.098,10.192,10.625,9.349
JPN,4.841,4.581,4.301,3.755,3.607,3.358,2.959,2.652,2.497,3.03,3.05,2.8
JPN,4.15,4.052,3.685,3.368,3.092,2.836,2.646,2.233,2.168,2.532,2.551,2.4
KOR,3.242,2.995,2.956,3.17,3.592,3.732,3.778,3.922,3.87,3.886,3.563,2.722
KOR,2.643,2.556,2.457,2.962,3.483,3.539,3.484,3.692,3.582,3.99,3.74,3.032
MEX,5.201,4.9,4.897,4.796,4.222,3.822,3.309,3.191,3.453,4.663,3.977,3.222
MEX,5.133,4.881,4.96,4.857,4.455,3.903,3.597,3.409,3.515,4.089,4.086,3.307
RUS,6.965,5.786,5.764,5.481,5.818,5.758,5.364,4.911,4.653,5.642,4.644,3.777
RUS,6.087,5.07,5.136,4.822,5.309,5.348,5.051,4.777,4.329,5.533,4.791,3.961
USA,9.374,8.225,7.638,6.262,5.369,4.94,4.396,3.947,3.722,7.797,5.468,3.681
USA,8.463,7.893,7.076,6.06,5.179,4.789,4.309,3.838,3.61,8.345,5.215,3.614
GBR,8.64,8.316,7.948,6.363,5.455,4.924,4.432,4.045,3.918,,,
GBR,7.341,7.386,7.038,5.82,5.125,4.68,4.215,3.94,3.535,,,
VNM,1.088,1.115,1.484,1.397,1.983,1.989,2.035,1.283,1.757,1.788,2.475,1.627
VNM,0.904,0.933,1.139,1.107,1.705,1.697,1.701,1.027,1.597,2.454,2.286,1.436
