AUS,1.15,1.4,1.55,1.58,1.47,1.35,1.21,1.33,1.43,1.39,1.33,1.56,1.69
BRA,2.21,2.62,2.47,2.47,2.46,1.8,1.8,2.06,1.92,1.87,1.48,1.65,1.92
CAN,1.62,1.79,1.83,1.85,1.81,1.56,1.53,1.65,1.73,1.74,1.66,2.01,2.16
FRA,2.65,2.87,2.68,2.81,2.86,2.44,2.47,2.6,2.79,2.73,2.65,2.96,2.78
DEU,3.4,3.75,3.53,3.73,3.89,3.36,3.47,3.69,3.97,3.89,3.89,4.28,4.08
ITA,2.14,2.29,2.09,2.14,2.16,1.84,1.88,1.96,2.09,2.01,1.9,2.16,2.05
KOR,1.14,1.25,1.28,1.37,1.48,1.47,1.5,1.62,1.73,1.65,1.64,1.82,1.67
MEX,1.11,1.23,1.26,1.33,1.36,1.21,1.11,1.19,1.26,1.31,1.12,1.31,1.47
GBR,2.49,2.66,2.71,2.78,3.06,2.93,2.69,2.68,2.87,2.85,2.7,3.14,3.09
RUS,1.52,2.05,2.21,2.29,2.06,1.36,1.28,1.57,1.66,1.69,1.49,1.84,2.24
USA,15,15.6,16.3,16.8,17.6,18.2,18.7,19.5,20.5,21.4,21.1,23.3,25.4
JPN,5.76,6.23,6.27,5.21,4.9,4.44,5,4.93,5.04,5.12,5.06,5.03,4.26
IND,1.68,1.82,1.83,1.86,2.04,2.1,2.29,2.65,2.7,2.84,2.67,3.15,3.42
CHN,6.09,7.55,8.53,9.57,10.5,11.1,11.2,12.3,13.9,14.3,14.7,17.8,18
VNM,0.147,0.173,0.196,0.214,0.233,0.239,0.257,0.281,0.31,0.334,0.347,0.366,0.409
