AUS,103.3038502,105.1248699,107.7003122,110.3798127,112.0447451,113.4755463,115.6867846,117.8980229,119.7970864,120.8116545,124.2715921,132.4661811
BRA,106.6364496,112.3985493,119.3721044,126.9272129,138.3886146,150.4825942,155.6687862,161.3738142,167.3978603,172.7742913,187.1174251,204.4821206
CAN,102.9121351,104.4719519,105.4522038,107.4627934,108.6720092,110.2246709,111.9848311,114.5248998,116.7572982,117.5944476,121.5870063,129.8583286
FRA,102.111598,104.107058,105.0062468,105.5394253,105.5790178,105.7725809,106.864453,108.8423164,110.0485668,110.5729469,112.3889211,118.2582836
DEU,102.0751728,104.1253413,105.6921396,106.6505496,107.1991879,107.7263367,109.3524602,111.2466294,112.8548771,113.0183789,116.4842759,124.4897444
ITA,102.7806327,105.9065652,107.1986183,107.4570178,107.4987009,107.3976342,108.7149018,109.9515203,110.6235956,110.4712586,112.5412505,121.7710848
KOR,104.025965,106.3010868,107.6844333,109.057167,109.8274724,110.8946503,113.0508108,114.7192592,115.1586343,115.7773678,118.6698724,124.7076621
MEX,103.4073782,107.6589827,111.7569043,116.2479852,119.4106751,122.7800955,130.1978025,136.5766487,141.542523,146.3504877,154.6766721,166.8903693
GBR,103.8561124,106.5285741,108.9698539,110.5511374,110.9580174,112.0769373,114.9435916,117.5790642,119.6227113,120.8063621,123.8487146,133.6600703
RUS,108.4404649,113.9435398,121.6389563,131.1552728,151.5294641,162.2008473,168.1752389,173.0158221,180.7502637,186.8626219,199.3720633,
USA,103.1568416,105.2915045,106.8338489,108.5669321,108.695722,110.0670089,112.4115573,115.1573032,117.2441955,118.6905016,124.2664138,134.2112062
JPN,99.72754438,99.68359993,100.0175778,102.7772895,103.5946564,103.462823,103.9637898,104.99209,105.4842679,105.4579012,105.2118123,107.8396906
IND,108.9117934,119.2355389,131.1804103,139.9244461,146.7905015,154.0540131,159.1811978,165.4510689,171.621576,182.9888226,192.3787247,205.2662411
CHN,105.5538989,108.318909,111.1580018,113.2940602,114.9221228,117.2205674,119.0880504,121.5588779,125.0831544,128.1094436,129.3662166,131.9193567
VNM,118.6777323,129.47112,138.0067299,143.6436899,144.5503702,148.4073328,153.6316522,159.0696412,163.5169479,168.7837215,171.8804227,177.3058411
