Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
MEX,18.64 ,18.42 ,18.09 ,16.91 ,18.81 ,19.02 ,17.94 ,17.58 ,16.58 ,,16.20 ,
AUS,17.08 ,17.09 ,15.36 ,15.52 ,14.99 ,14.84 ,14.85 ,14.81 ,15.06 ,15.25 ,14.39 ,13.13 
VNM,17.06 ,17.81 ,18.78 ,18.52 ,16.81 ,15.02 ,15.60 ,15.47 ,16.09 ,15.57 ,14.47 ,14.82 
USA,15.56 ,15.51 ,15.60 ,16.02 ,16.00 ,16.05 ,15.97 ,15.90 ,15.78 ,15.52 ,12.65 ,
BRA,14.29 ,14.85 ,15.18 ,15.13 ,14.99 ,14.47 ,14.24 ,14.81 ,14.38 ,14.06 ,12.28 ,
CHN,13.55 ,13.08 ,14.41 ,13.32 ,12.75 ,12.26 ,12.27 ,12.16 ,11.45 ,11.23 ,10.53 ,10.85 
GBR,13.24 ,12.73 ,12.27 ,12.13 ,12.36 ,12.29 ,12.25 ,12.28 ,12.11 ,12.02 ,10.73 ,11.23 
CAN,12.62 ,12.71 ,12.86 ,13.00 ,12.99 ,12.74 ,12.66 ,12.94 ,12.93 ,12.65 ,9.88 ,11.05 
IND,11.83 ,13.56 ,,14.05 ,,16.33 ,17.16 ,13.55 ,,15.00 ,14.72 ,14.65 
FRA,9.92 ,9.74 ,9.61 ,9.60 ,9.59 ,9.59 ,9.54 ,9.55 ,9.57 ,9.48 ,8.82 ,8.88 
RUS,9.77 ,9.63 ,9.50 ,10.00 ,9.17 ,2.20 ,9.59 ,9.50 ,10.05 ,9.29 ,8.94 ,
DEU,9.11 ,9.51 ,9.52 ,9.71 ,9.75 ,9.64 ,9.48 ,9.48 ,9.64 ,9.72 ,9.20 ,8.85 
JPN,8.78 ,8.54 ,8.50 ,8.46 ,8.53 ,8.37 ,8.20 ,8.15 ,8.13 ,8.15 ,7.29 ,7.43 
ITA,8.71 ,8.26 ,8.02 ,8.02 ,7.94 ,7.94 ,7.86 ,7.92 ,8.11 ,8.05 ,7.49 ,7.44 
KOR,,,,,,14.65 ,14.30 ,14.30 ,14.31 ,13.83 ,12.83 ,
